,ceb,age,educ,religion,idlnchld,knowmeth,usemeth,agefm,heduc,urban,electric,radio,tv,bicycle,nevermarr,idlnchld_noans,heduc_noans,usemeth_noans
0,0,18,10,catholic,4.0,1.0,1.0,0.0,-1.0,1,1.0,1.0,1.0,1.0,1,0,0,0
1,2,43,11,protestant,2.0,1.0,1.0,20.0,14.0,1,1.0,1.0,1.0,1.0,0,0,0,0
2,0,49,4,spirit,4.0,1.0,0.0,22.0,1.0,1,1.0,1.0,0.0,0.0,0,0,0,0
3,0,24,12,other,2.0,1.0,0.0,0.0,-1.0,1,1.0,1.0,1.0,1.0,1,0,0,0
4,3,32,13,other,3.0,1.0,1.0,24.0,12.0,1,1.0,1.0,1.0,1.0,0,0,0,0
5,1,30,5,spirit,5.0,1.0,0.0,24.0,7.0,1,1.0,0.0,0.0,0.0,0,0,0,0
6,3,42,4,other,3.0,1.0,0.0,15.0,11.0,1,1.0,0.0,1.0,0.0,0,0,0,0
7,1,36,7,other,4.0,1.0,1.0,24.0,9.0,1,1.0,0.0,0.0,0.0,0,0,0,0
8,4,37,16,catholic,4.0,1.0,1.0,26.0,17.0,1,1.0,1.0,1.0,1.0,0,0,0,0
9,1,34,5,protestant,4.0,1.0,1.0,18.0,3.0,1,0.0,1.0,0.0,0.0,0,0,0,0
10,3,42,15,other,3.0,1.0,1.0,24.0,16.0,1,1.0,1.0,1.0,1.0,0,0,0,0
11,3,29,7,spirit,6.0,1.0,1.0,24.0,7.0,1,1.0,1.0,0.0,0.0,0,0,0,0
12,4,45,0,spirit,6.0,1.0,0.0,23.0,-2.0,1,1.0,1.0,0.0,0.0,0,0,1,0
13,10,48,4,protestant,4.0,1.0,1.0,26.0,3.0,1,1.0,1.0,0.0,0.0,0,0,0,0
14,3,35,12,protestant,3.0,1.0,1.0,21.0,16.0,1,1.0,1.0,1.0,1.0,0,0,0,0
15,0,26,7,catholic,4.0,1.0,1.0,0.0,-1.0,1,1.0,1.0,0.0,0.0,1,0,0,0
16,4,38,7,protestant,5.0,1.0,1.0,0.0,-1.0,1,1.0,1.0,0.0,1.0,1,0,0,0
17,2,47,5,spirit,1.0,1.0,0.0,0.0,-1.0,1,1.0,1.0,0.0,0.0,1,0,0,0
18,0,32,16,protestant,2.0,1.0,1.0,25.0,16.0,1,1.0,1.0,1.0,0.0,0,0,0,0
19,1,27,12,spirit,3.0,1.0,1.0,23.0,16.0,1,1.0,1.0,1.0,0.0,0,0,0,0
20,0,23,12,protestant,2.0,1.0,1.0,18.0,12.0,1,1.0,1.0,1.0,0.0,0,0,0,0
21,4,39,11,protestant,4.0,1.0,0.0,23.0,16.0,1,1.0,1.0,1.0,1.0,0,0,0,0
22,2,38,12,other,4.0,1.0,0.0,25.0,14.0,1,1.0,1.0,1.0,1.0,0,0,0,0
23,4,39,6,spirit,4.0,1.0,0.0,18.0,10.0,1,1.0,1.0,0.0,1.0,0,0,0,0
24,1,21,10,spirit,1.0,1.0,0.0,0.0,-1.0,1,1.0,1.0,0.0,1.0,1,0,0,0
25,2,43,16,protestant,4.0,1.0,1.0,22.0,15.0,1,1.0,1.0,1.0,1.0,0,0,0,0
26,6,41,13,protestant,6.0,1.0,1.0,18.0,15.0,1,1.0,1.0,1.0,1.0,0,0,0,0
